Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1786-02-01 00:00:00;2016-03-02 10:00:00;44.0;59.342;18.0575

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1813-05-02 06:00:01;1813-06-01 06:00:00;1813-05;48.0;G
1813-06-01 06:00:01;1813-07-01 06:00:00;1813-06;60.0;G
1813-07-02 06:00:01;1813-08-01 06:00:00;1813-07;84.0;G
1813-08-02 06:00:01;1813-09-01 06:00:00;1813-08;43.0;G
1813-09-01 06:00:01;1813-10-01 06:00:00;1813-09;74.0;G
1813-10-02 06:00:01;1813-11-01 06:00:00;1813-10;66.0;G
1813-11-01 06:00:01;1813-12-01 06:00:00;1813-11;52.0;G
1813-12-02 06:00:01;1814-01-01 06:00:00;1813-12;15.0;G
1814-01-02 06:00:01;1814-02-01 06:00:00;1814-01;7.0;G
1814-01-30 06:00:01;1814-03-01 06:00:00;1814-02;5.0;G
1814-03-02 06:00:01;1814-04-01 06:00:00;1814-03;4.0;G
1814-04-01 06:00:01;1814-05-01 06:00:00;1814-04;6.0;G
1814-05-02 06:00:01;1814-06-01 06:00:00;1814-05;27.0;G
1814-06-01 06:00:01;1814-07-01 06:00:00;1814-06;39.0;G
1814-07-02 06:00:01;1814-08-01 06:00:00;1814-07;65.0;G
1814-08-02 06:00:01;1814-09-01 06:00:00;1814-08;30.0;G
1814-09-01 06:00:01;1814-10-01 06:00:00;1814-09;54.0;G
1814-10-02 06:00:01;1814-11-01 06:00:00;1814-10;36.0;G
1814-11-01 06:00:01;1814-12-01 06:00:00;1814-11;98.0;G
1814-12-02 06:00:01;1815-01-01 06:00:00;1814-12;35.0;G
1815-01-02 06:00:01;1815-02-01 06:00:00;1815-01;13.0;G
1815-01-30 06:00:01;1815-03-01 06:00:00;1815-02;10.0;G
1815-03-02 06:00:01;1815-04-01 06:00:00;1815-03;31.0;G
1815-04-01 06:00:01;1815-05-01 06:00:00;1815-04;12.0;G
1815-05-02 06:00:01;1815-06-01 06:00:00;1815-05;47.0;G
1815-06-01 06:00:01;1815-07-01 06:00:00;1815-06;43.0;G
1815-07-02 06:00:01;1815-08-01 06:00:00;1815-07;46.0;G
1815-08-02 06:00:01;1815-09-01 06:00:00;1815-08;81.0;G
1815-09-01 06:00:01;1815-10-01 06:00:00;1815-09;94.0;G
1815-10-02 06:00:01;1815-11-01 06:00:00;1815-10;84.0;G
1815-11-01 06:00:01;1815-12-01 06:00:00;1815-11;34.0;G
1815-12-02 06:00:01;1816-01-01 06:00:00;1815-12;22.0;G
1816-01-02 06:00:01;1816-02-01 06:00:00;1816-01;31.0;G
1816-01-31 06:00:01;1816-03-01 06:00:00;1816-02;15.0;G
1816-03-02 06:00:01;1816-04-01 06:00:00;1816-03;9.0;G
1816-04-01 06:00:01;1816-05-01 06:00:00;1816-04;5.0;G
1816-05-02 06:00:01;1816-06-01 06:00:00;1816-05;18.0;G
1816-06-01 06:00:01;1816-07-01 06:00:00;1816-06;2.0;G
1816-07-02 06:00:01;1816-08-01 06:00:00;1816-07;60.0;G
1816-08-02 06:00:01;1816-09-01 06:00:00;1816-08;49.0;G
1816-09-01 06:00:01;1816-10-01 06:00:00;1816-09;44.0;G
1816-10-02 06:00:01;1816-11-01 06:00:00;1816-10;16.0;G
1816-11-01 06:00:01;1816-12-01 06:00:00;1816-11;17.0;G
1816-12-02 06:00:01;1817-01-01 06:00:00;1816-12;7.0;G
1817-01-02 06:00:01;1817-02-01 06:00:00;1817-01;9.0;G
1817-01-30 06:00:01;1817-03-01 06:00:00;1817-02;5.0;G
1817-03-02 06:00:01;1817-04-01 06:00:00;1817-03;4.0;G
1817-04-01 06:00:01;1817-05-01 06:00:00;1817-04;6.0;G
1817-05-02 06:00:01;1817-06-01 06:00:00;1817-05;27.0;G
1817-06-01 06:00:01;1817-07-01 06:00:00;1817-06;39.0;G
1817-07-02 06:00:01;1817-08-01 06:00:00;1817-07;85.0;G
1817-08-02 06:00:01;1817-09-01 06:00:00;1817-08;50.0;G
1817-09-01 06:00:01;1817-10-01 06:00:00;1817-09;31.0;G
1817-10-02 06:00:01;1817-11-01 06:00:00;1817-10;28.0;G
1817-11-01 06:00:01;1817-12-01 06:00:00;1817-11;22.0;G
1817-12-02 06:00:01;1818-01-01 06:00:00;1817-12;16.0;G
1818-01-02 06:00:01;1818-02-01 06:00:00;1818-01;13.0;G
1818-01-30 06:00:01;1818-03-01 06:00:00;1818-02;20.0;G
1818-03-02 06:00:01;1818-04-01 06:00:00;1818-03;35.0;G
1818-04-01 06:00:01;1818-05-01 06:00:00;1818-04;26.0;G
1818-05-02 06:00:01;1818-06-01 06:00:00;1818-05;7.0;G
1818-06-01 06:00:01;1818-07-01 06:00:00;1818-06;13.0;G
1818-07-02 06:00:01;1818-08-01 06:00:00;1818-07;17.0;G
1818-08-02 06:00:01;1818-09-01 06:00:00;1818-08;62.0;G
1818-09-01 06:00:01;1818-10-01 06:00:00;1818-09;20.0;G
1818-10-02 06:00:01;1818-11-01 06:00:00;1818-10;20.0;G
1818-11-01 06:00:01;1818-12-01 06:00:00;1818-11;37.0;G
1818-12-02 06:00:01;1819-01-01 06:00:00;1818-12;7.0;G
1819-01-02 06:00:01;1819-02-01 06:00:00;1819-01;6.0;G
1819-01-30 06:00:01;1819-03-01 06:00:00;1819-02;28.0;G
1819-03-02 06:00:01;1819-04-01 06:00:00;1819-03;23.0;G
1819-04-01 06:00:01;1819-05-01 06:00:00;1819-04;18.0;G
1819-05-02 06:00:01;1819-06-01 06:00:00;1819-05;24.0;G
1819-06-01 06:00:01;1819-07-01 06:00:00;1819-06;11.0;G
1819-07-02 06:00:01;1819-08-01 06:00:00;1819-07;2.0;G
1819-08-02 06:00:01;1819-09-01 06:00:00;1819-08;13.0;G
1819-09-01 06:00:01;1819-10-01 06:00:00;1819-09;68.0;G
1819-10-02 06:00:01;1819-11-01 06:00:00;1819-10;54.0;G
1819-11-01 06:00:01;1819-12-01 06:00:00;1819-11;53.0;G
1819-12-02 06:00:01;1820-01-01 06:00:00;1819-12;32.0;G
1820-01-02 06:00:01;1820-02-01 06:00:00;1820-01;26.0;G
1820-01-31 06:00:01;1820-03-01 06:00:00;1820-02;42.0;G
1820-03-02 06:00:01;1820-04-01 06:00:00;1820-03;15.0;G
1820-04-01 06:00:01;1820-05-01 06:00:00;1820-04;40.0;G
1820-05-02 06:00:01;1820-06-01 06:00:00;1820-05;49.0;G
1820-06-01 06:00:01;1820-07-01 06:00:00;1820-06;89.0;G
1820-07-02 06:00:01;1820-08-01 06:00:00;1820-07;68.0;G
1820-08-02 06:00:01;1820-09-01 06:00:00;1820-08;51.0;G
1820-09-01 06:00:01;1820-10-01 06:00:00;1820-09;56.0;G
1820-10-02 06:00:01;1820-11-01 06:00:00;1820-10;56.0;G
1820-11-01 06:00:01;1820-12-01 06:00:00;1820-11;23.0;G
1820-12-02 06:00:01;1821-01-01 06:00:00;1820-12;19.0;G
1821-01-02 06:00:01;1821-02-01 06:00:00;1821-01;12.0;G
1821-01-30 06:00:01;1821-03-01 06:00:00;1821-02;5.0;G
1821-03-02 06:00:01;1821-04-01 06:00:00;1821-03;3.0;G
1821-04-01 06:00:01;1821-05-01 06:00:00;1821-04;27.0;G
1821-05-02 06:00:01;1821-06-01 06:00:00;1821-05;87.0;G
1821-06-01 06:00:01;1821-07-01 06:00:00;1821-06;21.0;G
1821-07-02 06:00:01;1821-08-01 06:00:00;1821-07;88.0;G
1821-08-02 06:00:01;1821-09-01 06:00:00;1821-08;23.0;G
1821-09-01 06:00:01;1821-10-01 06:00:00;1821-09;50.0;G
1821-10-02 06:00:01;1821-11-01 06:00:00;1821-10;50.0;G
1821-11-01 06:00:01;1821-12-01 06:00:00;1821-11;27.0;G
1821-12-02 06:00:01;1822-01-01 06:00:00;1821-12;34.0;G
1822-01-02 06:00:01;1822-02-01 06:00:00;1822-01;25.0;G
1822-01-30 06:00:01;1822-03-01 06:00:00;1822-02;14.0;G
1822-03-02 06:00:01;1822-04-01 06:00:00;1822-03;40.0;G
1822-04-01 06:00:01;1822-05-01 06:00:00;1822-04;16.0;G
1822-05-02 06:00:01;1822-06-01 06:00:00;1822-05;12.0;G
1822-06-01 06:00:01;1822-07-01 06:00:00;1822-06;14.0;G
1822-07-02 06:00:01;1822-08-01 06:00:00;1822-07;42.0;G
1822-08-02 06:00:01;1822-09-01 06:00:00;1822-08;56.0;G
1822-09-01 06:00:01;1822-10-01 06:00:00;1822-09;65.0;G
1822-10-02 06:00:01;1822-11-01 06:00:00;1822-10;48.0;G
1822-11-01 06:00:01;1822-12-01 06:00:00;1822-11;76.0;G
1822-12-02 06:00:01;1823-01-01 06:00:00;1822-12;8.0;G
1823-01-02 06:00:01;1823-02-01 06:00:00;1823-01;1.0;G
1823-01-30 06:00:01;1823-03-01 06:00:00;1823-02;2.0;G
1823-03-02 06:00:01;1823-04-01 06:00:00;1823-03;2.0;G
1823-04-01 06:00:01;1823-05-01 06:00:00;1823-04;17.0;G
1823-05-02 06:00:01;1823-06-01 06:00:00;1823-05;38.0;G
1823-06-01 06:00:01;1823-07-01 06:00:00;1823-06;34.0;G
1823-07-02 06:00:01;1823-08-01 06:00:00;1823-07;39.0;G
1823-08-02 06:00:01;1823-09-01 06:00:00;1823-08;134.0;G
1823-09-01 06:00:01;1823-10-01 06:00:00;1823-09;49.0;G
1823-10-02 06:00:01;1823-11-01 06:00:00;1823-10;102.0;G
1823-11-01 06:00:01;1823-12-01 06:00:00;1823-11;42.0;G
1823-12-02 06:00:01;1824-01-01 06:00:00;1823-12;45.0;G
1824-01-02 06:00:01;1824-02-01 06:00:00;1824-01;15.0;G
1824-01-31 06:00:01;1824-03-01 06:00:00;1824-02;7.0;G
1824-03-02 06:00:01;1824-04-01 06:00:00;1824-03;30.0;G
1824-04-01 06:00:01;1824-05-01 06:00:00;1824-04;11.0;G
1824-05-02 06:00:01;1824-06-01 06:00:00;1824-05;43.0;G
1824-06-01 06:00:01;1824-07-01 06:00:00;1824-06;18.0;G
1824-07-02 06:00:01;1824-08-01 06:00:00;1824-07;67.0;G
1824-08-02 06:00:01;1824-09-01 06:00:00;1824-08;46.0;G
1824-09-01 06:00:01;1824-10-01 06:00:00;1824-09;49.0;G
1824-10-02 06:00:01;1824-11-01 06:00:00;1824-10;64.0;G
1824-11-01 06:00:01;1824-12-01 06:00:00;1824-11;112.0;G
1824-12-02 06:00:01;1825-01-01 06:00:00;1824-12;71.0;G
1825-01-02 06:00:01;1825-02-01 06:00:00;1825-01;23.0;G
1825-01-30 06:00:01;1825-03-01 06:00:00;1825-02;4.0;G
1825-03-02 06:00:01;1825-04-01 06:00:00;1825-03;9.0;G
1825-04-01 06:00:01;1825-05-01 06:00:00;1825-04;36.0;G
1825-05-02 06:00:01;1825-06-01 06:00:00;1825-05;24.0;G
1825-06-01 06:00:01;1825-07-01 06:00:00;1825-06;42.0;G
1825-07-02 06:00:01;1825-08-01 06:00:00;1825-07;48.0;G
1825-08-02 06:00:01;1825-09-01 06:00:00;1825-08;49.0;G
1825-09-01 06:00:01;1825-10-01 06:00:00;1825-09;84.0;G
1825-10-02 06:00:01;1825-11-01 06:00:00;1825-10;43.0;G
1825-11-01 06:00:01;1825-12-01 06:00:00;1825-11;61.0;G
1825-12-02 06:00:01;1826-01-01 06:00:00;1825-12;19.0;G
1826-01-02 06:00:01;1826-02-01 06:00:00;1826-01;20.0;G
1826-01-30 06:00:01;1826-03-01 06:00:00;1826-02;23.0;G
1826-03-02 06:00:01;1826-04-01 06:00:00;1826-03;9.0;G
1826-04-01 06:00:01;1826-05-01 06:00:00;1826-04;22.0;G
1826-05-02 06:00:01;1826-06-01 06:00:00;1826-05;2.0;G
1826-06-01 06:00:01;1826-07-01 06:00:00;1826-06;4.0;G
1826-07-02 06:00:01;1826-08-01 06:00:00;1826-07;48.0;G
1826-08-02 06:00:01;1826-09-01 06:00:00;1826-08;11.0;G
1826-09-01 06:00:01;1826-10-01 06:00:00;1826-09;38.0;G
1826-10-02 06:00:01;1826-11-01 06:00:00;1826-10;23.0;G
1826-11-01 06:00:01;1826-12-01 06:00:00;1826-11;43.0;G
1826-12-02 06:00:01;1827-01-01 06:00:00;1826-12;18.0;G
1827-01-02 06:00:01;1827-02-01 06:00:00;1827-01;15.0;G
1827-01-30 06:00:01;1827-03-01 06:00:00;1827-02;10.0;G
1827-03-02 06:00:01;1827-04-01 06:00:00;1827-03;15.0;G
1827-04-01 06:00:01;1827-05-01 06:00:00;1827-04;9.0;G
1827-05-02 06:00:01;1827-06-01 06:00:00;1827-05;44.0;G
1827-06-01 06:00:01;1827-07-01 06:00:00;1827-06;12.0;G
1827-07-02 06:00:01;1827-08-01 06:00:00;1827-07;49.0;G
1827-08-02 06:00:01;1827-09-01 06:00:00;1827-08;105.0;G
1827-09-01 06:00:01;1827-10-01 06:00:00;1827-09;14.0;G
1827-10-02 06:00:01;1827-11-01 06:00:00;1827-10;39.0;G
1827-11-01 06:00:01;1827-12-01 06:00:00;1827-11;5.0;G
1827-12-02 06:00:01;1828-01-01 06:00:00;1827-12;25.0;G
1828-01-02 06:00:01;1828-02-01 06:00:00;1828-01;12.0;G
1828-01-31 06:00:01;1828-03-01 06:00:00;1828-02;35.0;G
1828-03-02 06:00:01;1828-04-01 06:00:00;1828-03;10.0;G
1828-04-01 06:00:01;1828-05-01 06:00:00;1828-04;34.0;G
1828-05-02 06:00:01;1828-06-01 06:00:00;1828-05;11.0;G
1828-06-01 06:00:01;1828-07-01 06:00:00;1828-06;26.0;G
1828-07-02 06:00:01;1828-08-01 06:00:00;1828-07;72.0;G
1828-08-02 06:00:01;1828-09-01 06:00:00;1828-08;55.0;G
1828-09-01 06:00:01;1828-10-01 06:00:00;1828-09;53.0;G
1828-10-02 06:00:01;1828-11-01 06:00:00;1828-10;29.0;G
1828-11-01 06:00:01;1828-12-01 06:00:00;1828-11;18.0;G
1828-12-02 06:00:01;1829-01-01 06:00:00;1828-12;25.0;G
1829-01-02 06:00:01;1829-02-01 06:00:00;1829-01;26.0;G
1829-01-30 06:00:01;1829-03-01 06:00:00;1829-02;4.0;G
1829-03-02 06:00:01;1829-04-01 06:00:00;1829-03;3.0;G
1829-04-01 06:00:01;1829-05-01 06:00:00;1829-04;26.0;G
1829-05-02 06:00:01;1829-06-01 06:00:00;1829-05;15.0;G
1829-06-01 06:00:01;1829-07-01 06:00:00;1829-06;3.0;G
1829-07-02 06:00:01;1829-08-01 06:00:00;1829-07;22.0;G
1829-08-02 06:00:01;1829-09-01 06:00:00;1829-08;45.0;G
1829-09-01 06:00:01;1829-10-01 06:00:00;1829-09;29.0;G
1829-10-02 06:00:01;1829-11-01 06:00:00;1829-10;23.0;G
1829-11-01 06:00:01;1829-12-01 06:00:00;1829-11;4.0;G
1829-12-02 06:00:01;1830-01-01 06:00:00;1829-12;6.0;G
1830-01-02 06:00:01;1830-02-01 06:00:00;1830-01;6.0;G
1830-01-30 06:00:01;1830-03-01 06:00:00;1830-02;3.0;G
1830-03-02 06:00:01;1830-04-01 06:00:00;1830-03;21.0;G
1830-04-01 06:00:01;1830-05-01 06:00:00;1830-04;28.0;G
1830-05-02 06:00:01;1830-06-01 06:00:00;1830-05;30.0;G
1830-06-01 06:00:01;1830-07-01 06:00:00;1830-06;45.0;G
1830-07-02 06:00:01;1830-08-01 06:00:00;1830-07;17.0;G
1830-08-02 06:00:01;1830-09-01 06:00:00;1830-08;78.0;G
1830-09-01 06:00:01;1830-10-01 06:00:00;1830-09;26.0;G
1830-10-02 06:00:01;1830-11-01 06:00:00;1830-10;41.0;G
1830-11-01 06:00:01;1830-12-01 06:00:00;1830-11;17.0;G
1830-12-02 06:00:01;1831-01-01 06:00:00;1830-12;27.0;G
1831-01-02 06:00:01;1831-02-01 06:00:00;1831-01;21.0;G
1831-01-30 06:00:01;1831-03-01 06:00:00;1831-02;22.0;G
1831-03-02 06:00:01;1831-04-01 06:00:00;1831-03;0.0;G
1831-04-01 06:00:01;1831-05-01 06:00:00;1831-04;4.0;G
1831-05-02 06:00:01;1831-06-01 06:00:00;1831-05;17.0;G
1831-06-01 06:00:01;1831-07-01 06:00:00;1831-06;32.0;G
1831-07-02 06:00:01;1831-08-01 06:00:00;1831-07;9.0;G
1831-08-02 06:00:01;1831-09-01 06:00:00;1831-08;34.0;G
1831-09-01 06:00:01;1831-10-01 06:00:00;1831-09;14.0;G
1831-10-02 06:00:01;1831-11-01 06:00:00;1831-10;53.0;G
1831-11-01 06:00:01;1831-12-01 06:00:00;1831-11;91.0;G
1831-12-02 06:00:01;1832-01-01 06:00:00;1831-12;36.0;G
1832-01-02 06:00:01;1832-02-01 06:00:00;1832-01;11.0;G
1832-01-31 06:00:01;1832-03-01 06:00:00;1832-02;2.0;G
1832-03-02 06:00:01;1832-04-01 06:00:00;1832-03;16.0;G
1832-04-01 06:00:01;1832-05-01 06:00:00;1832-04;9.0;G
1832-05-02 06:00:01;1832-06-01 06:00:00;1832-05;46.0;G
1832-06-01 06:00:01;1832-07-01 06:00:00;1832-06;14.0;G
1832-07-02 06:00:01;1832-08-01 06:00:00;1832-07;57.0;G
1832-08-02 06:00:01;1832-09-01 06:00:00;1832-08;44.0;G
1832-09-01 06:00:01;1832-10-01 06:00:00;1832-09;53.0;G
1832-10-02 06:00:01;1832-11-01 06:00:00;1832-10;41.0;G
1832-11-01 06:00:01;1832-12-01 06:00:00;1832-11;19.0;G
1832-12-02 06:00:01;1833-01-01 06:00:00;1832-12;10.0;G
1833-01-02 06:00:01;1833-02-01 06:00:00;1833-01;3.0;G
1833-01-30 06:00:01;1833-03-01 06:00:00;1833-02;23.0;G
1833-03-02 06:00:01;1833-04-01 06:00:00;1833-03;2.0;G
1833-04-01 06:00:01;1833-05-01 06:00:00;1833-04;24.0;G
1833-05-02 06:00:01;1833-06-01 06:00:00;1833-05;14.0;G
1833-06-01 06:00:01;1833-07-01 06:00:00;1833-06;34.0;G
1833-07-02 06:00:01;1833-08-01 06:00:00;1833-07;75.0;G
1833-08-02 06:00:01;1833-09-01 06:00:00;1833-08;69.0;G
1833-09-01 06:00:01;1833-10-01 06:00:00;1833-09;23.0;G
1833-10-02 06:00:01;1833-11-01 06:00:00;1833-10;41.0;G
1833-11-01 06:00:01;1833-12-01 06:00:00;1833-11;36.0;G
1833-12-02 06:00:01;1834-01-01 06:00:00;1833-12;79.0;G
1834-01-02 06:00:01;1834-02-01 06:00:00;1834-01;41.0;G
1834-01-30 06:00:01;1834-03-01 06:00:00;1834-02;10.0;G
1834-03-02 06:00:01;1834-04-01 06:00:00;1834-03;21.0;G
1834-04-01 06:00:01;1834-05-01 06:00:00;1834-04;27.0;G
1834-05-02 06:00:01;1834-06-01 06:00:00;1834-05;38.0;G
1834-06-01 06:00:01;1834-07-01 06:00:00;1834-06;21.0;G
1834-07-02 06:00:01;1834-08-01 06:00:00;1834-07;7.0;G
1834-08-02 06:00:01;1834-09-01 06:00:00;1834-08;60.0;G
1834-09-01 06:00:01;1834-10-01 06:00:00;1834-09;21.0;G
1834-10-02 06:00:01;1834-11-01 06:00:00;1834-10;67.0;G
1834-11-01 06:00:01;1834-12-01 06:00:00;1834-11;31.0;G
1834-12-02 06:00:01;1835-01-01 06:00:00;1834-12;14.0;G
1835-01-02 06:00:01;1835-02-01 06:00:00;1835-01;24.0;G
1835-01-30 06:00:01;1835-03-01 06:00:00;1835-02;26.0;G
1835-03-02 06:00:01;1835-04-01 06:00:00;1835-03;26.0;G
1835-04-01 06:00:01;1835-05-01 06:00:00;1835-04;12.0;G
1835-05-02 06:00:01;1835-06-01 06:00:00;1835-05;28.0;G
1835-06-01 06:00:01;1835-07-01 06:00:00;1835-06;13.0;G
1835-07-02 06:00:01;1835-08-01 06:00:00;1835-07;31.0;G
1835-08-02 06:00:01;1835-09-01 06:00:00;1835-08;22.0;G
1835-09-01 06:00:01;1835-10-01 06:00:00;1835-09;3.0;G
1835-10-02 06:00:01;1835-11-01 06:00:00;1835-10;63.0;G
1835-11-01 06:00:01;1835-12-01 06:00:00;1835-11;20.0;G
1835-12-02 06:00:01;1836-01-01 06:00:00;1835-12;34.0;G
1836-01-02 06:00:01;1836-02-01 06:00:00;1836-01;22.0;G
1836-01-31 06:00:01;1836-03-01 06:00:00;1836-02;21.0;G
1836-03-02 06:00:01;1836-04-01 06:00:00;1836-03;40.0;G
1836-04-01 06:00:01;1836-05-01 06:00:00;1836-04;24.0;G
1836-05-02 06:00:01;1836-06-01 06:00:00;1836-05;38.0;G
1836-06-01 06:00:01;1836-07-01 06:00:00;1836-06;22.0;G
1836-07-02 06:00:01;1836-08-01 06:00:00;1836-07;39.0;G
1836-08-02 06:00:01;1836-09-01 06:00:00;1836-08;11.0;G
1836-09-01 06:00:01;1836-10-01 06:00:00;1836-09;90.0;G
1836-10-02 06:00:01;1836-11-01 06:00:00;1836-10;30.0;G
1836-11-01 06:00:01;1836-12-01 06:00:00;1836-11;21.0;G
1836-12-02 06:00:01;1837-01-01 06:00:00;1836-12;35.0;G
1837-01-02 06:00:01;1837-02-01 06:00:00;1837-01;8.0;G
1837-01-30 06:00:01;1837-03-01 06:00:00;1837-02;5.0;G
1837-03-02 06:00:01;1837-04-01 06:00:00;1837-03;10.0;G
1837-04-01 06:00:01;1837-05-01 06:00:00;1837-04;25.0;G
1837-05-02 06:00:01;1837-06-01 06:00:00;1837-05;74.0;G
1837-06-01 06:00:01;1837-07-01 06:00:00;1837-06;26.0;G
1837-07-02 06:00:01;1837-08-01 06:00:00;1837-07;50.0;G
1837-08-02 06:00:01;1837-09-01 06:00:00;1837-08;49.0;G
1837-09-01 06:00:01;1837-10-01 06:00:00;1837-09;67.0;G
1837-10-02 06:00:01;1837-11-01 06:00:00;1837-10;35.0;G
1837-11-01 06:00:01;1837-12-01 06:00:00;1837-11;46.0;G
1837-12-02 06:00:01;1838-01-01 06:00:00;1837-12;16.0;G
1838-01-02 06:00:01;1838-02-01 06:00:00;1838-01;4.0;G
1838-01-30 06:00:01;1838-03-01 06:00:00;1838-02;9.0;G
1838-03-02 06:00:01;1838-04-01 06:00:00;1838-03;18.0;G
1838-04-01 06:00:01;1838-05-01 06:00:00;1838-04;48.0;G
1838-05-02 06:00:01;1838-06-01 06:00:00;1838-05;5.0;G
1838-06-01 06:00:01;1838-07-01 06:00:00;1838-06;11.0;G
1838-07-02 06:00:01;1838-08-01 06:00:00;1838-07;80.0;G
1838-08-02 06:00:01;1838-09-01 06:00:00;1838-08;77.0;G
1838-09-01 06:00:01;1838-10-01 06:00:00;1838-09;14.0;G
1838-10-02 06:00:01;1838-11-01 06:00:00;1838-10;52.0;G
1838-11-01 06:00:01;1838-12-01 06:00:00;1838-11;41.0;G
1838-12-02 06:00:01;1839-01-01 06:00:00;1838-12;18.0;G
1839-01-02 06:00:01;1839-02-01 06:00:00;1839-01;27.0;G
1839-01-30 06:00:01;1839-03-01 06:00:00;1839-02;6.0;G
1839-03-02 06:00:01;1839-04-01 06:00:00;1839-03;9.0;G
1839-04-01 06:00:01;1839-05-01 06:00:00;1839-04;9.0;G
1839-05-02 06:00:01;1839-06-01 06:00:00;1839-05;37.0;G
1839-06-01 06:00:01;1839-07-01 06:00:00;1839-06;75.0;G
1839-07-02 06:00:01;1839-08-01 06:00:00;1839-07;46.0;G
1839-08-02 06:00:01;1839-09-01 06:00:00;1839-08;52.0;G
1839-09-01 06:00:01;1839-10-01 06:00:00;1839-09;78.0;G
1839-10-02 06:00:01;1839-11-01 06:00:00;1839-10;31.0;G
1839-11-01 06:00:01;1839-12-01 06:00:00;1839-11;40.0;G
1839-12-02 06:00:01;1840-01-01 06:00:00;1839-12;15.0;G
1840-01-02 06:00:01;1840-02-01 06:00:00;1840-01;35.0;G
1840-01-31 06:00:01;1840-03-01 06:00:00;1840-02;4.0;G
1840-03-02 06:00:01;1840-04-01 06:00:00;1840-03;6.0;G
1840-04-01 06:00:01;1840-05-01 06:00:00;1840-04;9.0;G
1840-05-02 06:00:01;1840-06-01 06:00:00;1840-05;42.0;G
1840-06-01 06:00:01;1840-07-01 06:00:00;1840-06;34.0;G
1840-07-02 06:00:01;1840-08-01 06:00:00;1840-07;99.0;G
1840-08-02 06:00:01;1840-09-01 06:00:00;1840-08;32.0;G
1840-09-01 06:00:01;1840-10-01 06:00:00;1840-09;79.0;G
1840-10-02 06:00:01;1840-11-01 06:00:00;1840-10;137.0;G
1840-11-01 06:00:01;1840-12-01 06:00:00;1840-11;98.0;G
1840-12-02 06:00:01;1841-01-01 06:00:00;1840-12;10.0;G
1841-01-02 06:00:01;1841-02-01 06:00:00;1841-01;22.0;G
1841-01-30 06:00:01;1841-03-01 06:00:00;1841-02;4.0;G
1841-03-02 06:00:01;1841-04-01 06:00:00;1841-03;19.0;G
1841-04-01 06:00:01;1841-05-01 06:00:00;1841-04;14.0;G
1841-05-02 06:00:01;1841-06-01 06:00:00;1841-05;20.0;G
1841-06-01 06:00:01;1841-07-01 06:00:00;1841-06;72.0;G
1841-07-02 06:00:01;1841-08-01 06:00:00;1841-07;43.0;G
1841-08-02 06:00:01;1841-09-01 06:00:00;1841-08;30.0;G
1841-09-01 06:00:01;1841-10-01 06:00:00;1841-09;24.0;G
1841-10-02 06:00:01;1841-11-01 06:00:00;1841-10;95.0;G
1841-11-01 06:00:01;1841-12-01 06:00:00;1841-11;24.0;G
1841-12-02 06:00:01;1842-01-01 06:00:00;1841-12;86.0;G
1842-01-02 06:00:01;1842-02-01 06:00:00;1842-01;5.0;G
1842-01-30 06:00:01;1842-03-01 06:00:00;1842-02;3.0;G
1842-03-02 06:00:01;1842-04-01 06:00:00;1842-03;31.0;G
1842-04-01 06:00:01;1842-05-01 06:00:00;1842-04;3.0;G
1842-05-02 06:00:01;1842-06-01 06:00:00;1842-05;29.0;G
1842-06-01 06:00:01;1842-07-01 06:00:00;1842-06;41.0;G
1842-07-02 06:00:01;1842-08-01 06:00:00;1842-07;57.0;G
1842-08-02 06:00:01;1842-09-01 06:00:00;1842-08;39.0;G
1842-09-01 06:00:01;1842-10-01 06:00:00;1842-09;62.0;G
1842-10-02 06:00:01;1842-11-01 06:00:00;1842-10;34.0;G
1842-11-01 06:00:01;1842-12-01 06:00:00;1842-11;33.0;G
1842-12-02 06:00:01;1843-01-01 06:00:00;1842-12;22.0;G
1843-01-02 06:00:01;1843-02-01 06:00:00;1843-01;19.0;G
1843-01-30 06:00:01;1843-03-01 06:00:00;1843-02;8.0;G
1843-03-02 06:00:01;1843-04-01 06:00:00;1843-03;5.0;G
1843-04-01 06:00:01;1843-05-01 06:00:00;1843-04;21.0;G
1843-05-02 06:00:01;1843-06-01 06:00:00;1843-05;20.0;G
1843-06-01 06:00:01;1843-07-01 06:00:00;1843-06;60.0;G
1843-07-02 06:00:01;1843-08-01 06:00:00;1843-07;12.0;G
1843-08-02 06:00:01;1843-09-01 06:00:00;1843-08;6.0;G
1843-09-01 06:00:01;1843-10-01 06:00:00;1843-09;29.0;G
1843-10-02 06:00:01;1843-11-01 06:00:00;1843-10;54.0;G
1843-11-01 06:00:01;1843-12-01 06:00:00;1843-11;50.0;G
1843-12-02 06:00:01;1844-01-01 06:00:00;1843-12;16.0;G
1844-01-02 06:00:01;1844-02-01 06:00:00;1844-01;11.0;G
1844-01-31 06:00:01;1844-03-01 06:00:00;1844-02;9.0;G
1844-03-02 06:00:01;1844-04-01 06:00:00;1844-03;14.0;G
